@relation jogo_fase_1
@attribute aluno integer
@attribute frustrado {True, False}
@attribute qtd_toques integer
@attribute tentativas integer
@attribute tempo integer
@attribute med_toques_segundo real
@attribute qtd_toque_tipo_0 integer
@attribute qtd_toque_tipo_1 integer
@attribute qtd_toque_tipo_2 integer
@attribute qtd_toque_tipo_3 integer
@attribute qtd_toque_tipo_4 integer
@attribute qtd_toque_tipo_5 integer
@attribute qtd_toque_tipo_6 integer
@attribute qtd_toque_tipo_7 integer
@attribute qtd_toque_tipo_8 integer
@attribute qtd_toque_tipo_9 integer
@attribute qtd_toque_tipo_10 integer
@attribute qtd_toque_tipo_11 integer
@attribute qtd_toque_tipo_12 integer
@attribute toque_1_x integer
@attribute toque_1_y integer
@attribute toque_1_t integer
@attribute toque_1_acao integer
@attribute toque_2_x integer
@attribute toque_2_y integer
@attribute toque_2_t integer
@attribute toque_2_acao integer
@attribute toque_3_x integer
@attribute toque_3_y integer
@attribute toque_3_t integer
@attribute toque_3_acao integer
@attribute toque_4_x integer
@attribute toque_4_y integer
@attribute toque_4_t integer
@attribute toque_4_acao integer
@attribute toque_5_x integer
@attribute toque_5_y integer
@attribute toque_5_t integer
@attribute toque_5_acao integer
@attribute toque_6_x integer
@attribute toque_6_y integer
@attribute toque_6_t integer
@attribute toque_6_acao integer
@attribute toque_7_x integer
@attribute toque_7_y integer
@attribute toque_7_t integer
@attribute toque_7_acao integer
@attribute toque_8_x integer
@attribute toque_8_y integer
@attribute toque_8_t integer
@attribute toque_8_acao integer
@attribute toque_9_x integer
@attribute toque_9_y integer
@attribute toque_9_t integer
@attribute toque_9_acao integer
@attribute toque_10_x integer
@attribute toque_10_y integer
@attribute toque_10_t integer
@attribute toque_10_acao integer
@attribute toque_11_x integer
@attribute toque_11_y integer
@attribute toque_11_t integer
@attribute toque_11_acao integer
@attribute toque_12_x integer
@attribute toque_12_y integer
@attribute toque_12_t integer
@attribute toque_12_acao integer
@attribute toque_13_x integer
@attribute toque_13_y integer
@attribute toque_13_t integer
@attribute toque_13_acao integer
@attribute toque_14_x integer
@attribute toque_14_y integer
@attribute toque_14_t integer
@attribute toque_14_acao integer
@attribute toque_15_x integer
@attribute toque_15_y integer
@attribute toque_15_t integer
@attribute toque_15_acao integer
@attribute toque_16_x integer
@attribute toque_16_y integer
@attribute toque_16_t integer
@attribute toque_16_acao integer
@attribute toque_17_x integer
@attribute toque_17_y integer
@attribute toque_17_t integer
@attribute toque_17_acao integer
@attribute toque_18_x integer
@attribute toque_18_y integer
@attribute toque_18_t integer
@attribute toque_18_acao integer
@attribute toque_19_x integer
@attribute toque_19_y integer
@attribute toque_19_t integer
@attribute toque_19_acao integer
@attribute toque_20_x integer
@attribute toque_20_y integer
@attribute toque_20_t integer
@attribute toque_20_acao integer
@attribute toque_21_x integer
@attribute toque_21_y integer
@attribute toque_21_t integer
@attribute toque_21_acao integer
@attribute toque_22_x integer
@attribute toque_22_y integer
@attribute toque_22_t integer
@attribute toque_22_acao integer
@attribute toque_23_x integer
@attribute toque_23_y integer
@attribute toque_23_t integer
@attribute toque_23_acao integer
@attribute toque_24_x integer
@attribute toque_24_y integer
@attribute toque_24_t integer
@attribute toque_24_acao integer
@attribute toque_25_x integer
@attribute toque_25_y integer
@attribute toque_25_t integer
@attribute toque_25_acao integer
@attribute toque_26_x integer
@attribute toque_26_y integer
@attribute toque_26_t integer
@attribute toque_26_acao integer
@attribute toque_27_x integer
@attribute toque_27_y integer
@attribute toque_27_t integer
@attribute toque_27_acao integer
@attribute toque_28_x integer
@attribute toque_28_y integer
@attribute toque_28_t integer
@attribute toque_28_acao integer
@attribute toque_29_x integer
@attribute toque_29_y integer
@attribute toque_29_t integer
@attribute toque_29_acao integer
@attribute toque_30_x integer
@attribute toque_30_y integer
@attribute toque_30_t integer
@attribute toque_30_acao integer
@attribute toque_31_x integer
@attribute toque_31_y integer
@attribute toque_31_t integer
@attribute toque_31_acao integer
@attribute toque_32_x integer
@attribute toque_32_y integer
@attribute toque_32_t integer
@attribute toque_32_acao integer
@attribute toque_33_x integer
@attribute toque_33_y integer
@attribute toque_33_t integer
@attribute toque_33_acao integer
@attribute toque_34_x integer
@attribute toque_34_y integer
@attribute toque_34_t integer
@attribute toque_34_acao integer
@attribute toque_35_x integer
@attribute toque_35_y integer
@attribute toque_35_t integer
@attribute toque_35_acao integer
@attribute toque_36_x integer
@attribute toque_36_y integer
@attribute toque_36_t integer
@attribute toque_36_acao integer
@attribute toque_37_x integer
@attribute toque_37_y integer
@attribute toque_37_t integer
@attribute toque_37_acao integer
@attribute toque_38_x integer
@attribute toque_38_y integer
@attribute toque_38_t integer
@attribute toque_38_acao integer
@attribute toque_39_x integer
@attribute toque_39_y integer
@attribute toque_39_t integer
@attribute toque_39_acao integer
@attribute toque_40_x integer
@attribute toque_40_y integer
@attribute toque_40_t integer
@attribute toque_40_acao integer
@attribute toque_41_x integer
@attribute toque_41_y integer
@attribute toque_41_t integer
@attribute toque_41_acao integer
@attribute toque_42_x integer
@attribute toque_42_y integer
@attribute toque_42_t integer
@attribute toque_42_acao integer
@attribute toque_43_x integer
@attribute toque_43_y integer
@attribute toque_43_t integer
@attribute toque_43_acao integer
@attribute toque_44_x integer
@attribute toque_44_y integer
@attribute toque_44_t integer
@attribute toque_44_acao integer
@attribute toque_45_x integer
@attribute toque_45_y integer
@attribute toque_45_t integer
@attribute toque_45_acao integer
@attribute toque_46_x integer
@attribute toque_46_y integer
@attribute toque_46_t integer
@attribute toque_46_acao integer
@attribute toque_47_x integer
@attribute toque_47_y integer
@attribute toque_47_t integer
@attribute toque_47_acao integer
@attribute toque_48_x integer
@attribute toque_48_y integer
@attribute toque_48_t integer
@attribute toque_48_acao integer
@attribute toque_49_x integer
@attribute toque_49_y integer
@attribute toque_49_t integer
@attribute toque_49_acao integer
@attribute toque_50_x integer
@attribute toque_50_y integer
@attribute toque_50_t integer
@attribute toque_50_acao integer
@attribute toque_51_x integer
@attribute toque_51_y integer
@attribute toque_51_t integer
@attribute toque_51_acao integer
@attribute toque_52_x integer
@attribute toque_52_y integer
@attribute toque_52_t integer
@attribute toque_52_acao integer
@attribute toque_53_x integer
@attribute toque_53_y integer
@attribute toque_53_t integer
@attribute toque_53_acao integer
@attribute toque_54_x integer
@attribute toque_54_y integer
@attribute toque_54_t integer
@attribute toque_54_acao integer
@attribute toque_55_x integer
@attribute toque_55_y integer
@attribute toque_55_t integer
@attribute toque_55_acao integer
@attribute toque_56_x integer
@attribute toque_56_y integer
@attribute toque_56_t integer
@attribute toque_56_acao integer
@attribute toque_57_x integer
@attribute toque_57_y integer
@attribute toque_57_t integer
@attribute toque_57_acao integer
@attribute toque_58_x integer
@attribute toque_58_y integer
@attribute toque_58_t integer
@attribute toque_58_acao integer
@attribute toque_59_x integer
@attribute toque_59_y integer
@attribute toque_59_t integer
@attribute toque_59_acao integer
@attribute toque_60_x integer
@attribute toque_60_y integer
@attribute toque_60_t integer
@attribute toque_60_acao integer
@attribute toque_61_x integer
@attribute toque_61_y integer
@attribute toque_61_t integer
@attribute toque_61_acao integer
@attribute toque_62_x integer
@attribute toque_62_y integer
@attribute toque_62_t integer
@attribute toque_62_acao integer
@attribute toque_63_x integer
@attribute toque_63_y integer
@attribute toque_63_t integer
@attribute toque_63_acao integer
@attribute toque_64_x integer
@attribute toque_64_y integer
@attribute toque_64_t integer
@attribute toque_64_acao integer
@attribute toque_65_x integer
@attribute toque_65_y integer
@attribute toque_65_t integer
@attribute toque_65_acao integer
@attribute toque_66_x integer
@attribute toque_66_y integer
@attribute toque_66_t integer
@attribute toque_66_acao integer
@attribute toque_67_x integer
@attribute toque_67_y integer
@attribute toque_67_t integer
@attribute toque_67_acao integer
@attribute toque_68_x integer
@attribute toque_68_y integer
@attribute toque_68_t integer
@attribute toque_68_acao integer
@attribute toque_69_x integer
@attribute toque_69_y integer
@attribute toque_69_t integer
@attribute toque_69_acao integer
@attribute toque_70_x integer
@attribute toque_70_y integer
@attribute toque_70_t integer
@attribute toque_70_acao integer
@data
1,False,23,3,3134,7.338864071474155,0,14,3,3,0,0,0,0,0,3,0,0,0,70,560,1157,1,77,559,1210,1,70,472,1387,2,97,553,1434,1,97,555,1467,1,96,404,1515,3,98,560,1558,1,472,58,1779,9,85,554,1905,1,89,551,1941,1,79,392,1988,3,85,564,2045,1,96,466,2080,2,99,549,2110,1,487,56,2160,9,64,555,2351,1,74,551,2413,1,73,398,2491,3,92,549,2615,1,96,549,2658,1,89,481,2696,2,83,549,2738,1,469,62,2801,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,False,8,1,1390,5.755395683453238,0,5,1,1,0,0,0,0,0,1,0,0,0,90,557,579,1,90,553,612,1,75,409,709,3,85,553,817,1,82,554,900,1,85,482,963,2,109,549,1025,1,482,48,1097,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,False,8,1,1039,7.699711260827719,0,5,1,1,0,0,0,0,0,1,0,0,0,61,552,454,1,62,558,528,1,75,406,622,3,76,558,650,1,81,556,670,1,86,475,703,2,94,543,785,1,473,41,865,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,False,25,2,4919,5.082333807684489,0,16,3,3,0,0,0,0,0,2,1,0,0,74,544,410,1,72,559,436,1,67,404,836,3,81,568,971,1,83,555,1002,1,79,466,1061,2,470,41,1154,9,89,555,1502,1,83,566,1524,1,94,404,2316,3,100,563,2408,1,98,561,2426,1,94,559,2440,1,74,480,2678,2,61,556,2831,1,84,558,2913,1,697,55,3272,10,90,549,3369,1,88,559,3390,1,93,402,3472,3,60,563,3555,1,70,556,3580,1,84,486,4077,2,89,557,4177,1,484,54,4267,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,False,8,1,1992,4.016064257028113,0,5,1,1,0,0,0,0,0,1,0,0,0,78,562,425,1,91,565,509,1,99,405,1182,3,84,556,1296,1,72,562,1338,1,70,484,1552,2,57,559,1586,1,475,47,1675,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,False,61,6,3784,16.120507399577168,13,29,6,6,1,0,0,0,0,6,0,0,0,64,559,182,1,63,580,203,1,326,345,315,0,413,533,430,0,423,332,444,0,419,524,487,0,424,427,498,0,436,349,509,0,60,483,669,2,68,562,709,1,70,543,722,1,75,411,768,3,62,546,820,1,484,27,878,9,89,569,1048,1,82,570,1080,1,84,484,1206,2,94,554,1236,1,91,560,1257,1,73,470,1280,2,73,545,1302,1,484,27,1348,9,93,569,1561,1,99,557,1577,1,122,323,1603,4,101,416,1642,3,80,568,1680,1,481,61,1727,9,83,561,1870,1,80,567,1891,1,81,396,2008,3,74,580,2045,1,93,553,2070,1,85,412,2116,3,88,548,2149,1,487,43,2184,9,94,547,2257,1,94,550,2277,1,82,406,2305,3,429,490,2482,0,422,319,2497,0,601,349,2532,0,580,253,2547,0,581,383,2568,0,390,334,2586,0,407,508,2596,0,53,550,2686,1,48,564,2703,1,58,476,2824,2,68,481,2845,2,492,42,2904,9,94,561,3022,1,90,564,3048,1,41,413,3166,3,60,564,3250,1,70,561,3273,1,69,477,3343,2,63,545,3442,1,71,550,3467,1,72,546,3515,1,476,40,3597,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,False,69,8,7149,9.65169953839698,7,35,13,6,0,0,0,0,0,8,0,0,0,54,557,200,1,59,564,231,1,50,472,389,2,58,549,414,1,64,545,422,1,53,537,481,1,495,24,507,9,81,537,581,1,79,533,606,1,73,459,645,2,85,539,667,1,92,548,679,1,91,371,697,0,68,478,754,2,73,473,781,2,459,74,830,9,67,544,890,1,70,539,922,1,70,473,985,2,70,470,1001,2,76,544,1045,1,77,544,1067,1,489,67,1118,9,23,563,1945,1,28,554,1969,1,45,469,2083,2,47,476,2106,2,50,391,2136,3,52,396,2157,3,62,553,2186,1,476,30,2226,9,72,550,3002,1,72,550,3029,1,69,463,3559,2,80,570,3609,1,77,569,3628,1,66,409,3665,3,82,563,3685,1,500,33,3722,9,60,569,5979,1,65,568,5992,1,444,510,6063,0,431,438,6075,0,438,333,6088,0,534,341,6109,0,595,361,6120,0,66,472,6229,2,53,555,6259,1,53,552,6278,1,79,386,6318,3,55,561,6342,1,477,48,6376,9,68,552,6460,1,59,530,6472,1,94,404,6541,3,47,561,6576,1,101,467,6591,2,95,470,6601,2,42,562,6633,1,483,84,6657,0,489,63,6697,9,61,554,6786,1,57,546,6796,1,77,409,6882,3,46,564,6897,1,45,563,6906,1,98,463,6919,2,44,561,6931,1,538,61,6957,9,0,0,0,0
8,False,39,2,6055,6.4409578860445915,10,18,3,4,0,0,0,0,0,2,2,0,0,43,553,897,1,50,554,995,1,394,473,1103,0,406,403,1121,0,491,371,1143,0,49,489,1319,2,60,486,1343,2,104,574,1373,1,109,578,1397,1,513,75,1448,9,439,438,1909,0,437,364,1927,0,70,562,2004,1,70,555,2029,1,509,336,2131,0,593,357,2149,0,462,340,2904,0,529,386,2920,0,51,415,3981,3,81,571,4028,1,90,564,4054,1,28,401,4119,3,717,43,4212,10,93,554,4257,1,73,569,4372,1,54,405,4527,3,64,569,4569,1,66,569,4587,1,60,509,4609,0,72,571,4631,1,721,30,4766,10,58,561,5041,1,56,571,5069,1,48,420,5126,3,76,559,5702,1,84,554,5727,1,68,487,5760,2,84,564,5787,1,522,39,5847,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,False,69,6,3312,20.833333333333336,23,29,7,4,0,0,0,0,0,6,0,0,0,99,541,339,1,82,552,372,1,106,484,445,2,102,483,472,2,99,542,497,1,94,545,523,1,477,54,554,9,95,538,626,1,92,554,651,1,121,465,676,2,123,462,701,2,104,554,724,1,94,554,751,1,465,35,777,9,63,561,933,1,74,525,999,1,99,477,1043,2,95,547,1067,1,95,549,1083,1,101,416,1107,3,104,552,1126,1,519,5,1149,0,476,42,1168,9,96,549,1339,1,410,484,1371,0,430,443,1385,0,420,343,1398,0,83,563,1471,1,446,351,1525,0,78,489,1624,2,498,338,1681,0,79,557,1730,1,87,558,1760,1,592,353,1798,0,110,407,1845,3,609,350,1880,0,592,241,1894,0,114,540,1945,1,488,400,1977,0,473,56,2007,9,87,564,2059,1,101,539,2080,1,420,425,2115,0,449,330,2131,0,99,394,2174,3,382,525,2211,0,430,333,2230,0,93,568,2281,1,108,561,2299,1,431,357,2338,0,544,348,2356,0,86,553,2395,1,92,554,2413,1,478,53,2437,9,96,565,2511,1,102,554,2530,1,424,457,2581,0,133,394,2625,3,374,447,2677,0,444,353,2694,0,84,562,2731,1,88,559,2751,1,436,350,2829,0,536,347,2844,0,598,354,2857,0,94,481,2895,2,104,560,3042,1,562,369,3081,0,471,62,3105,9,0,0,0,0
10,False,27,3,3700,7.297297297297297,0,16,5,2,0,0,0,0,0,3,1,0,0,39,558,1022,1,26,553,1098,1,34,552,1247,1,701,54,1655,10,55,564,1741,1,63,554,1807,1,42,486,1885,2,35,484,1957,2,43,482,2021,2,52,560,2064,1,478,38,2127,9,77,555,2293,1,55,554,2364,1,42,467,2527,2,62,558,2598,1,59,551,2648,1,70,401,2689,3,54,554,2749,1,476,40,2791,9,32,544,2877,1,32,549,2933,1,58,384,2989,3,45,556,3162,1,43,551,3221,1,62,478,3275,2,48,553,3314,1,451,50,3354,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
